timestamp,symbol,side,amount,price,value,fee,total_cost,signal_strength,total_proceeds
2025-11-25 23:36:34.578701,ETH/USDT,BUY,0.34524426031417227,2896.5,1000.0,1.0,1001.0,0.5069244612134497,
2025-11-26 02:19:12.022183,BTC/USDT,BUY,0.011403808872163303,87690.0,1000.0,1.0,1001.0,0.44735354892617074,
2025-11-26 03:09:28.855998,ETH/USDT,SELL,0.34524426031417227,2896.1,999.8619022958743,0.9998619022958743,,-0.31891948559045136,998.8620403935785
